,Song,Artist
0,Positions,Ariana Grande
1,Forever After All,Luke Combs
2,Mood,24kGoldn Featuring iann dior
3,Laugh Now Cry Later,Drake Featuring Lil Durk
4,Blinding Lights,The Weeknd
5,I Hope,Gabby Barrett Featuring Charlie Puth
6,WAP,Cardi B Featuring Megan Thee Stallion
7,Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo
8,Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV
9,Holy,Justin Bieber Featuring Chance The Rapper
10,Rockstar,DaBaby Featuring Roddy Ricch
11,Dynamite,BTS
12,Before You Go,Lewis Capaldi
13,For The Night,Pop Smoke Featuring Lil Baby & DaBaby
14,Watermelon Sugar,Harry Styles
15,Go Crazy,Chris Brown & Young Thug
16,Said Sum,Moneybagg Yo
17,Circles,Post Malone
18,Be Like That,Kane Brown With Swae Lee & Khalid
19,Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne"
20,Got What I Got,Jason Aldean
21,Kings & Queens,Ava Max
22,More Than My Hometown,Morgan Wallen
23,Come & Go,Juice WRLD x Marshmello
24,ily,surf mesa Featuring Emilee
25,One Of Them Girls,Lee Brice
26,Lonely,Justin Bieber & benny blanco
27,Bang!,AJR
28,What You Know Bout Love,Pop Smoke
29,Better Together,Luke Combs
30,Adore You,Harry Styles
31,Wonder,Shawn Mendes
32,Dreams,Fleetwood Mac
33,Tyler Herro,Jack Harlow
34,The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch
35,One Beer,HARDY Featuring Lauren Alaina & Devin Dawson
36,Love You Like I Used To,Russell Dickerson
37,Don't Start Now,Dua Lipa
38,Roses,SAINt JHN
39,Rags2Riches,Rod Wave Featuring ATR Son Son
40,Lovin' On You,Luke Combs
41,Levitating,Dua Lipa Featuring DaBaby
42,Pretty Heart,Parker McCollum
43,Break My Heart,Dua Lipa
44,Some Girls,Jameson Rodgers
45,Happy Anywhere,Blake Shelton Featuring Gwen Stefani
46,Mood Swings,Pop Smoke Featuring Lil Tjay
47,Everywhere But On,Matt Stell
48,Mr. Right Now,21 Savage & Metro Boomin Featuring Drake
49,I Should Probably Go To Bed,Dan + Shay
50,Franchise,Travis Scott Featuring Young Thug & M.I.A.
51,24,Money Man Featuring Lil Baby
52,Spicy,Ty Dolla $ign Featuring Post Malone
53,Popstar,DJ Khaled Featuring Drake
54,You Broke Me First.,Tate McRae
55,Midnight Sky,Miley Cyrus
56,My Ex's Best Friend,Machine Gun Kelly X blackbear
57,Diamonds,Sam Smith
58,Tap In,Saweetie
59,7 Summers,Morgan Wallen
60,Runnin,21 Savage & Metro Boomin
61,Wishing Well,Juice WRLD
62,Starting Over,Chris Stapleton
63,Hawai,Maluma
64,Ain't Always The Cowboy,Jon Pardi
65,U 2 Luv,Ne-Yo & Jeremih
66,"Big, Big Plans",Chris Lane
67,Hit Different,SZA Featuring Ty Dolla $ign
68,The Other Guy,Luke Combs
69,Damage,H.E.R.
70,Heather,Conan Gray
71,Don't Stop,Megan Thee Stallion Featuring Young Thug
72,Martin & Gina,Polo G
73,Golden,Harry Styles
74,B.S.,Jhene Aiko Featuring H.E.R.
75,Back To The Streets,Saweetie Featuring Jhene Aiko
76,So Done,The Kid LAROI
77,Without You,Luke Combs Featuring Amanda Shires
78,Relacion,"Sech, Daddy Yankee & J Balvin Featuring ROSALIA & Farruko"
79,Put Your Records On,Ritt Momney
80,Good Time,Niko Moon
81,The Bigger Picture,Lil Baby
82,Blind,DaBaby Featuring Young Thug
83,Cold As You,Luke Combs
84,Kacey Talk,YoungBoy Never Broke Again
85,Practice,DaBaby
86,Hole In The Bottle,Kelsea Ballerini
87,Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj
88,You're Mines Still,Yung Bleu Featuring Drake
89,Champagne Night,Lady A
90,Greece,DJ Khaled Featuring Drake
91,Happy Does,Kenny Chesney
92,Throat Baby (Go Baby),BRS Kash
93,Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy"
94,Do It,Chloe X Halle
95,Cardigan,Taylor Swift
96,Forget Me Too,Machine Gun Kelly & Halsey
97,La Toxica,Farruko
98,Head & Heart,Joel Corry X MNEK
99,"Wine, Beer, Whiskey",Little Big Town
