,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,spotify:track:4AVIdds2A4E4UsZcVU0Uso,0.7959999999999999,0.5660000000000001,7.0,-7.857,1.0,0.0695,0.02,0.0181,0.11599999999999999,0.58,143.994,267120.0,4.0
1,spotify:track:2N3U8uTYhjX2KwGT0pf5x0,0.39399999999999996,0.6609999999999999,4.0,-8.684,1.0,0.192,0.00996,0.0,0.34299999999999997,0.335,149.81799999999998,260987.0,4.0
2,spotify:track:2BGeWY3tmXyS2ZCdAybNjm,0.764,0.21899999999999997,4.0,-21.541,0.0,0.141,0.9129999999999999,0.306,0.11199999999999999,0.433,83.866,239920.0,4.0
3,spotify:track:3GPZQoYHZ13hij5hcV42ig,0.765,0.6779999999999999,10.0,-8.619,1.0,0.0505,0.18100000000000002,0.0124,0.106,0.61,120.96700000000001,248545.0,4.0
4,spotify:track:5HWKnPuBqTUQp8OFVJNkM3,0.6809999999999999,0.765,0.0,-6.6610000000000005,0.0,0.0365,0.066,0.0226,0.156,0.617,123.999,166453.0,4.0
5,spotify:track:6IHQYCcVjN6byEKKsx5n1K,0.599,0.262,9.0,-13.888,0.0,0.22399999999999998,0.9890000000000001,0.259,0.19899999999999998,0.534,163.457,156933.0,4.0
6,spotify:track:1UOhKnE2fZJuGdB7ssn9nf,0.804,0.607,10.0,-6.84,0.0,0.37,0.0773,0.0,0.0993,0.823,142.421,191333.0,4.0
7,spotify:track:1PeGJUYyZpawjrHmwzQoJx,0.5479999999999999,0.565,0.0,-6.782,1.0,0.0429,0.722,0.0,0.897,0.233,123.25399999999999,129480.0,4.0
8,spotify:track:0UtnpKaReKUg2GquaSxCyD,0.716,0.531,7.0,-7.355,1.0,0.122,0.0703,0.0,0.22399999999999998,0.344,71.994,386907.0,4.0
9,spotify:track:7Ek2kv9If3IjdMCRyeVm8g,0.762,0.5589999999999999,11.0,-10.307,1.0,0.0365,0.515,0.0,0.243,0.932,128.695,126760.0,4.0
10,spotify:track:0SoXYVY7NYfacA2E1fOZaF,0.8320000000000001,0.439,9.0,-10.979000000000001,0.0,0.0715,0.513,0.0195,0.11900000000000001,0.635,97.99600000000001,152390.0,4.0
11,spotify:track:6ksRossV4vKsXntCCZbhaM,0.589,0.613,0.0,-5.034,1.0,0.0327,0.568,0.0,0.0675,0.19,114.853,181867.0,4.0
12,spotify:track:1J49Zvazhrmg1cZQmEPmTa,0.727,0.573,10.0,-6.656000000000001,1.0,0.0675,0.0925,0.0104,0.151,0.414,117.03299999999999,238620.0,4.0
13,spotify:track:5obIhZr0h0XhdvZr0eRBms,0.865,0.748,1.0,-5.4110000000000005,1.0,0.242,0.6970000000000001,0.00689,0.506,0.951,116.836,197494.0,4.0
14,spotify:track:7vqUr6K2Js9Paq4kdNSOm6,0.68,0.772,10.0,-5.995,1.0,0.0416,0.535,0.0153,0.147,0.376,105.005,244510.0,4.0
15,spotify:track:34Eeuuh3feHb7IUjR8971B,0.8590000000000001,0.742,4.0,-6.521,0.0,0.0415,0.0751,0.526,0.0796,0.638,122.999,250813.0,4.0
16,spotify:track:1WqjYWH4BbGRLoVxQU3XS1,0.7140000000000001,0.701,5.0,-7.381,1.0,0.0813,0.0703,0.0,0.0958,0.493,134.917,239520.0,4.0
17,spotify:track:2ZPyQcrC0p9BJnZj9eYKz8,0.722,0.6409999999999999,6.0,-9.429,1.0,0.0374,0.175,0.0102,0.24100000000000002,0.733,120.023,273661.0,4.0
18,spotify:track:52CxnbKtKO3VlL2wepUnte,0.644,0.919,7.0,-7.1339999999999995,1.0,0.04,0.0688,0.0,0.0867,0.934,115.932,276000.0,4.0
19,spotify:track:1p05oPK949iMluRXGakmER,0.757,0.61,7.0,-12.595999999999998,1.0,0.0405,0.0135,2.35e-05,0.35100000000000003,0.867,129.285,237267.0,4.0
20,spotify:track:68Yoyhp9n6DUSQjgrUZNOz,0.84,0.7759999999999999,9.0,-4.854,1.0,0.23399999999999999,0.0585,0.0,0.252,0.747,90.01100000000001,334507.0,4.0
